symbol,funded_by_address,newly_funded_addresses,funded_volume,rank
USDC,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,61875,571880492.31223,54
USDC,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,60380,476157824.138472,55
USDC,0xd551234ae421e3bcba99a0da6d736074f22192ff,59893,432467829.577951,56
USDC,0x564286362092d8e7936f0549571a803b203aaced,59139,434542165.777629,57
USDC,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,57110,425310192.56957895,58
USDC,0xe0554a476a092703abdb3ef35c80e0d76d32939f,55723,28796286.367465,59
USDC,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,55478,413995814.118196,60
USDC,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,54574,323647967.746647,61
USDC,0xd1669ac6044269b59fa12c5822439f609ca54f41,54551,268445209.171241,62
USDC,0x7cfdeb2def0fa6810eda0ac17c2a4e2f9e12db4f,52160,763.622286,63
USDC,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,51612,267914825.646405,64
USDC,0x0d0e364aa7852291883c162b22d6d81f6355428f,51549,31639053.18319,65
USDC,0x445f16314284b43dfa1fd3cd77b9dea4a1bebd97,51255,334646121.966565,66
USDC,0x260b364fe0d3d37e6fd3cda0fa50926a06c54cea,50140,453838112.290803,67
USDC,0x09d4ba0aa5e07026261d6d648551b94834d1c62e,49568,342.01358700000003,68
USDC,0x9008d19f58aabd9ed0d60971565aa8510560ab41,48843,2713095245.319429,69
USDC,0xa3222357a0eccf60c73606170be6c99adecb59b3,47744,305401505.457212,70
USDC,0x03baf90b77df8fec05ba9a59f26d0e0d021f75b7,47578,62913279.656141,71
USDC,0x1887fa9edadeab7562b01cc3f4fa246ace2c3cdd,46612,32707784.662957,72
USDC,0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3,46112,137530767.996772,73
USDC,0x8c8d7c46219d9205f056f28fee5950ad564d7465,45459,7614948.3161659995,74
USDC,0x0cb3e3f55d20b306d6303bfa0ff122fdf15e77e7,45338,62.073903,75
USDC,0xdd3d72c53ff982ff59853da71158bf1538b3ceee,44483,95197859.37791601,76
USDC,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,43613,85476231.200711,77
USDC,0x9a8ed6d235ceb6dc699eebc999ae9227818bb627,42458,41468154.174012005,78
USDC,0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251,41981,952805.130488,79
USDC,0xfac87e892800f73fea9bd4a81b4e0269f4363fe3,41804,142503123.6754,80
USDC,0xde44c986fc890713b009f749ffbd1ab3875dc026,41793,17.70549,81
USDC,0x9cd8a5b91ee80fdee6c0e2832d75a56555b9f37f,41447,409.443269,82
USDC,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,39321,242544137.236351,83
USDC,0xc3e537626476fba585ad3112d94f567b8904df98,38873,98.521601,84
USDC,0x5f65f7b609678448494de4c87521cdf6cef1e932,38595,462644056.21699804,85
USDC,0xdf31a70a21a1931e02033dbba7deace6c45cfd0f,37721,48165267.799719006,86
USDC,0x8d5f7156eb384902b71ae991c563bb9ee47e0d68,37586,590.804,87
USDC,0x74dec05e5b894b0efec69cdf6316971802a2f9a1,37237,39404703.375214,88
USDC,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,36887,185828631.12336,89
USDC,0xf1af3b23de0a5ca3cab7261cb0061c0d779a5c7b,36669,10750901.56575,90
USDC,0x2744dfd9898f0babbc570cc594bbbc84b487a22b,35601,97145440.826365,91
USDC,0x5e1f62dac767b0491e3ce72469c217365d5b48cc,35043,11879767.829365,92
USDC,0x912fd21d7a69678227fe6d08c64222db41477ba0,34650,69001365.428234,93
USDC,0x3416cf6c708da44db2624d63ea0aaef7113527c6,34528,960229311.205601,94
USDC,0x69460570c93f9de5e2edbc3052bf10125f0ca22d,33714,52211936.13776,95
USDC,0xe9f4429f198d33b3d36c2cdeda21a96b1b261c56,32705,32.1434,96
USDC,0xdafc4ab80f48fde24591aa4412a9d924eadc0a58,32582,225.806712,97
USDC,0x28b1dc1a5e3699a428bc51d234dfab7c9cb2a183,32043,10819660.429903999,98
USDC,0x2e1dee213ba8d7af0934c49a23187babeaca8764,31942,13765525.597004,99
USDC,0x9c0b739c9c414a13019d377a6197bc30bf1e0351,31746,142.931661,100
DAI,0x503828976d22510aad0201ac7ec88293211d23da,108539,709193047.7250093,1
DAI,0xd3e52099a6a48f132cb23b1364b7dee212d862f6,79795,22076767.72332632,2
DAI,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,77060,529239930.99691284,3
DAI,0x74de5d4fcbf63e00296fd95d33236b9794016631,64500,303316364.1853056,4
DAI,0x28c6c06298d514db089934071355e5743bf21d60,38103,406660817.5491596,5
DAI,0x60594a405d53811d3bc4766596efd80fd545a270,36057,120084138.58761586,6
DAI,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,32452,378038929.47012615,7
DAI,0xffec0067f5a79cff07527f63d83dd5462ccf8ba4,26103,40145201.268714994,8
DAI,0x1ae0e997216f7a354eda202b5cb3352b9dafadff,24387,31.48855131260152,9
DAI,0x5f65f7b609678448494de4c87521cdf6cef1e932,23997,106528738.60194445,10
DAI,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,22814,179659343.3359156,11
DAI,0x21a31ee1afc51d94c2efccaa2092ad1028285549,22679,173285739.5920751,12
DAI,0x46340b20830761efd32832a74d7169b29feb9758,22041,36378808.23354616,13
DAI,0x66c57bf505a85a74609d2c83e94aabb26d691e1f,18680,152982930.88314623,14
DAI,0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,16752,88493214.51929067,15
DAI,0x2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,16569,5087143.181094991,16
DAI,0x16be6ba639bd784c19a315be557089ec78ffb34a,13762,4.682917022415262,17
DAI,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,13709,386690227.67660445,18
DAI,0x5afe0000727040681d781fb23e8c82b468076042,13348,4.344014582355312,19
DAI,0x5777d92f208679db4b9778590fa3cab3ac9e2168,12224,745082857.3687338,20
DAI,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,11353,130547833.77137057,21
DAI,0x29d5527caa78f1946a409fa6acaf14a0a4a0274b,11272,7718815.43,22
DAI,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,11135,57902443.83728003,23
DAI,0xd551234ae421e3bcba99a0da6d736074f22192ff,11076,60888809.79267002,24
DAI,0x912fd21d7a69678227fe6d08c64222db41477ba0,10848,2696796.6770434454,25
DAI,0x301d9bc22d66f7bc49329a9d9eb16d3ecc4a12b4,10817,52.118,26
DAI,0x564286362092d8e7936f0549571a803b203aaced,10792,56359493.52297579,27
DAI,0x9008d19f58aabd9ed0d60971565aa8510560ab41,9843,1168293028.6253228,28
DAI,0xd1917932a7db6af687b523d5db5d7f5c2734763f,9765,2994513.4121458074,29
DAI,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,9681,91686303.29195109,30
DAI,0xa1ab7a4aa264745912db261536291336f7e543ac,9527,2438470.3417225014,31
DAI,0x1715a3e4a142d8b698131108995174f37aeba10d,9520,92200877.71143875,32
DAI,0x605188c45c6ef9491a093c5d1e84f7cd13b0971f,8740,14263160.789151564,33
DAI,0x59a5208b32e627891c389ebafc644145224006e8,7909,11468825.79462193,34
DAI,0x1a6182dc00b4282158934c99403d2b308d15d459,7896,6.190005573228181,35
DAI,0xf0a5bcf29906884dbd96dc41c5f5680a666f4db7,7378,11.93405152285238,36
DAI,0x65bf64ff5f51272f729bdcd7acfb00677ced86cd,7132,7651050.76722801,37
DAI,0x6727727aa0500c08ebd5f60cd75421eafb5472ff,7119,10131031.87850374,38
DAI,0x455bf23ea7575a537b6374953fa71b5f3653272c,7048,30.283074810460707,39
DAI,0xff1f2b4adb9df6fc8eafecdcbf96a2b351680455,6970,13292879.15,40
DAI,0xe93381fb4c4f14bda253907b18fad305d799241a,6268,61086175.16099119,41
DAI,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,6147,28526298.33572594,42
DAI,0x85b931a32a0725be14285b66f1a22178c672d69b,6074,33405142.83074275,43
DAI,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,5969,129464395.88954945,44
DAI,0x340d693ed55d7ba167d184ea76ea2fd092a35bdc,5964,6649657.965553252,45
DAI,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,5925,72140663.01382864,46
DAI,0x708396f17127c42383e3b9014072679b2f60b82f,5831,48028934.71121645,47
DAI,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,5799,68586643.21247222,48
DAI,0xabea9132b05a70803a4e85094fd0e1800777fbef,5473,5533990.939545647,49
DAI,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,5468,18521035.336389452,50
DAI,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,5367,10316843.008232092,51
DAI,0x3fda25f27211a138adf211f4c060f2149674be6d,5236,24151930.652706362,52
DAI,0xd8258baf814e7d59fa7daf291a45a86ad038b847,5154,51.54,53
DAI,0xd152f549545093347a162dce210e7293f1452150,5120,19618000.1004837,54
DAI,0xf715336bbfff0bbf922a5d10220ef86d55e8345f,5112,8.6712495538,55
DAI,0xad6752e44b90f0dde02e80ee9d1624adb3c90008,5054,0.0630252,56
DAI,0x48c04ed5691981c42154c6167398f95e8f38a7ff,4906,16991312.895070292,57
DAI,0x0a1820f0ff7dc9fce0a4f0b589ee14ddae88233c,4883,3846867.919171,58
DAI,0x028171bca77440897b824ca71d1c56cac55b68a3,4694,2170242741.4182153,59
DAI,0xf89d7b9c864f589bbf53a82105107622b35eaa40,4587,25979541.6006085,60
DAI,0xc3e537626476fba585ad3112d94f567b8904df98,4431,7.8283844280105095,61
DAI,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,4248,1178466810.3756428,62
DAI,0x4aa42145aa6ebf72e164c9bbc74fbd3788045016,4094,57340186.72240992,63
DAI,0xf9879bb3230f86ffcebca652c5fb6ec4504309be,3896,5028.70040198,64
DAI,0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,3862,84257416.11290166,65
DAI,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,3717,11771863.74553009,66
DAI,0x7fc1ff4d7ef948e39d982541c7027cc9cc943492,3652,24.0074547398,67
DAI,0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,3630,89205053.14185603,68
DAI,0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,3566,91283580.71347074,69
DAI,0x11111254369792b2ca5d084ab5eea397ca8fa48b,3505,40489118.491597496,70
DAI,0x6c6bc977e13df9b0de53b251522280bb72383700,3501,230781832.86075902,71
DAI,0x4dedf26112b3ec8ec46e7e31ea5e123490b05b8b,3476,501014406.8676002,72
DAI,0x41cc011e768b2859f2aba42551762a2a17b26fed,3465,10.325770697356749,73
DAI,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,3364,285166509.458816,74
DAI,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,3361,18649337.59359544,75
DAI,0x1111111254fb6c44bac0bed2854e76f90643097d,3305,715247371.4013504,76
DAI,0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,3305,37779241.24505452,77
DAI,0x14bb6108489bcdd5dadac4769086aaa273210cbe,3260,393.0445702522173,78
DAI,0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,3164,20658954.13811555,79
DAI,0xaf0b0000f0210d0f421f0009c72406703b50506b,3156,5301760.3263778025,80
DAI,0xa230285d5683c74935ad14c446e137c8c8828438,3147,182518748.3101583,81
DAI,0x09d4ba0aa5e07026261d6d648551b94834d1c62e,3138,83.17119944407347,82
DAI,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,3132,2267817705.770879,83
DAI,0xeb6c4be4b92a52e969f4bf405025d997703d5383,3108,1848048.83644963,84
DAI,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,3009,561146.8596466801,85
DAI,0xfd5c1c3d086a9cc0f21beab6dde3900c9351fc59,3007,1016439.3537091053,86
DAI,0x7515be43d16f871588adc135d58a9c30a71eb34f,2969,717462.1706247403,87
