symbol,address,outgoing_volume,rank
USDC,0x3507e4978e0eb83315d20df86ca0b976c0e40ccb,4877595195.667776,28
USDC,0x13f12f5d8b269197be17f0ad4f0a5b27463c7839,4372860000.000032,29
USDC,0x551e668d75ae61597410aea9babb8e7e0b8a543f,4190867092.3735733,30
USDC,0x8965349fb649a33a30cbfda057d8ec2c48abe2a2,4072014510.840288,31
USDC,0xd5f05644ef5d0a36ca8c8b5177ffbd09ec63f92f,3990789722.8956313,32
USDC,0x0000a1e0777c5f0e1e5c7cf3ca427801d143fe3e,3983469757.6908927,33
USDC,0x36e4ef865aec21a7bfd969b4f2e9f807842c102d,3799473439.7752566,34
USDC,0xee082a26416cbda6c7c4bbab928778428751b90b,3617190807.062803,35
USDC,0xc437005c5cee2d5d43579fa4e7615cade6fd77be,3592316707.3657722,36
USDC,0x1b865ac80156ba7649b521f0b0c769e6b4526c49,3074139801.365761,37
USDC,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,3034000000.005951,38
USDC,0xf06b404e9c8ab8ae3e660e2e0af8c053363538b5,3032000000.0062113,39
USDC,0xa1202c3fd92993092e321a16a2cced1831ef4297,2961151732.8967433,40
USDC,0x111111125421ca6dc452d289314280a0f8842a65,2949573025.8015456,41
USDC,0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,2906301590.18375,42
USDC,0xdd3cb5c974601bc3974d908ea4a86020f9999e0c,2827372111.3075085,43
USDC,0xbdccafb234be6dc2545b0c25b0a5f5d9d1124228,2743886499.778378,44
USDC,0xbce729580490534fdaa5a4306c49c019418e2823,2721883268.2778516,45
USDC,0x4a8ff709f7f906e14bca5eea1eedda2d1e42e43a,2710155203.223584,46
USDC,0xd06d0d6eed7cd538e299502138497128b5580cc7,2697587342.0,47
USDC,0xa418dc025e6ac4ccb656074f564bf2112dab4673,2697286933.0,48
USDC,0x2354ef4df11afacb85a5c7f98b624072eccddbb1,2516306006.0744915,49
USDC,0x258474cd00b4f42842ed424e6c2c1da0087031b8,2499987967.477006,50
USDC,0x018e41228b1ebc2f81897150877edbb682272c64,2468698086.9871187,51
