month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2025-02-01,142,142,29,505506109444934,505506109.4449340000,75,75,16,241354846224412,241354846.2244120000,264151263.2205220000,598271837.991469000000000000000000
2025-03-01,97,97,24,409595326655901,409595326.6559010000,56,56,12,385105490189589,385105490.1895890000,24489836.4663120000,622761674.457781000000000000000000
2025-04-01,103,103,37,469005180121087,469005180.1210870000,73,73,24,353252222719669,353252222.7196690000,115752957.4014180000,738514631.859199000000000000000000
2025-05-01,51,51,19,465240987896568,465240987.8965680000,75,75,23,517996669497189,517996669.4971890000,-52755681.6006210000,685758950.258578000000000000000000
2025-06-01,39,39,6,510212970468578,510212970.4685780000,40,40,5,457446856551486,457446856.5514860000,52766113.9170920000,738525064.175670000000000000000000
2025-07-01,55,55,9,576281074567849,576281074.5678490000,67,67,14,507142920216391,507142920.2163910000,69138154.3514580000,807663218.527128000000000000000000
2025-08-01,80,80,21,680471258716106,680471258.7161060000,91,91,19,538796203400799,538796203.4007990000,141675055.3153070000,949338273.842435000000000000000000
2025-09-01,167,167,32,1555062663725945,1555062663.7259450000,476,476,67,545617139616570,545617139.6165700000,1009445524.1093750000,1958783797.951810000000000000000000
2025-10-01,244,244,56,300000716137746307756,300000716137746.3077560000,159,159,48,300000952808006769909,300000952808006.7699090000,-236670260.4621530000,1722113537.489657000000000000000000
2025-11-01,433,433,64,1373843809037344,1373843809.0373440000,118,118,40,286137683312345,286137683.3123450000,1087706125.7249990000,2809819663.214656000000000000000000
2025-12-01,236,236,46,479769966103084,479769966.1030840000,219,219,62,625817040447905,625817040.4479050000,-146047074.3448210000,2663772588.869835000000000000000000
2026-01-01,601,601,91,892330004520488,892330004.5204880000,343,343,74,771997268423996,771997268.4239960000,120332736.0964920000,2784105324.966327000000000000000000
2026-02-01,1684,1684,239,1487424189315467,1487424189.3154670000,622,622,108,1351276637650503,1351276637.6505030000,136147551.6649640000,2920252876.631291000000000000000000
2026-03-01,1065,1065,300,939217032135359,939217032.1353590000,588,588,149,993611237680925,993611237.6809250000,-54394205.5455660000,2865858671.085725000000000000000000
2026-04-01,824,824,187,1098625235642823,1098625235.6428230000,619,619,91,1553098987191479,1553098987.1914790000,-454473751.5486560000,2411384919.537069000000000000000000
2026-05-01,523,523,111,704216571586452,704216571.5864520000,493,493,103,1068786209674783,1068786209.6747830000,-364569638.0883310000,2046815281.448738000000000000000000
2026-06-01,840,840,132,879152754283714,879152754.2837140000,365,365,75,1175090035781538,1175090035.7815380000,-295937281.4978240000,1750877999.950914000000000000000000
