month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2023-09-01,5,5,1,251086100000,251086.100000000000,15,15,2,750044680000,750044.680000000000,-498958.580000000000,46017406.91000000000000000000
2023-10-01,23,23,1,2361002720000,2361002.720000000000,16,16,1,1835841360000,1835841.360000000000,525161.360000000000,46542568.27000000000000000000
2023-11-01,21,21,2,1898260130000,1898260.130000000000,11,11,2,563744090000,563744.090000000000,1334516.040000000000,47877084.31000000000000000000
2023-12-01,11,11,1,2173561090000,2173561.090000000000,18,18,1,2114828130000,2114828.130000000000,58732.960000000000,47935817.27000000000000000000
2024-01-01,17,17,2,844358100000,844358.100000000000,43,43,2,1538303960000,1538303.960000000000,-693945.860000000000,47241871.41000000000000000000
2024-02-01,23,23,2,287266860000,287266.860000000000,31,31,2,3109320920000,3109320.920000000000,-2822054.060000000000,44419817.35000000000000000000
2024-03-01,15,15,2,4898068230000,4898068.230000000000,35,35,2,3517701630000,3517701.630000000000,1380366.600000000000,45800183.95000000000000000000
2024-04-01,9,9,3,187841590000,187841.590000000000,36,36,3,11051531320000,11051531.320000000000,-10863689.730000000000,34936494.22000000000000000000
2024-05-01,33,33,3,98521020000,98521.020000000000,66,66,3,3764217550000,3764217.550000000000,-3665696.530000000000,31270797.69000000000000000000
2024-06-01,31,31,3,797192790000,797192.790000000000,31,31,3,1878271230000,1878271.230000000000,-1081078.440000000000,30189719.25000000000000000000
2024-07-01,39,39,1,3398154360000,3398154.360000000000,46,46,2,5138915740000,5138915.740000000000,-1740761.380000000000,28448957.87000000000000000000
2024-08-01,42,42,2,20236726590000,20236726.590000000000,37,37,2,10314734310000,10314734.310000000000,9921992.280000000000,38370950.15000000000000000000
2024-09-01,28,28,2,14422492680000,14422492.680000000000,45,45,2,20400618650000,20400618.650000000000,-5978125.970000000000,32392824.18000000000000000000
2024-10-01,48,48,2,29663748430000,29663748.430000000000,49,49,2,26814278410000,26814278.410000000000,2849470.020000000000,35242294.20000000000000000000
2024-11-01,51,51,2,23969584900000,23969584.900000000000,31,31,2,18604979170000,18604979.170000000000,5364605.730000000000,40606899.93000000000000000000
2024-12-01,50,50,2,32445622300000,32445622.300000000000,34,34,2,34064852760000,34064852.760000000000,-1619230.460000000000,38987669.47000000000000000000
2025-01-01,43,43,2,16602013180000,16602013.180000000000,48,48,2,3617527320000,3617527.320000000000,12984485.860000000000,51972155.33000000000000000000
2025-02-01,52,52,4,42990193380000,42990193.380000000000,34,34,3,23063081090000,23063081.090000000000,19927112.290000000000,71899267.62000000000000000000
2025-03-01,35,35,2,52192503660000,52192503.660000000000,42,42,2,9403241420000,9403241.420000000000,42789262.240000000000,114688529.86000000000000000000
2025-04-01,56,56,2,74319826050000,74319826.050000000000,126,126,3,74158135110000,74158135.110000000000,161690.940000000000,114850220.80000000000000000000
2025-05-01,52,52,2,49571163380000,49571163.380000000000,176,176,2,60196503610000,60196503.610000000000,-10625340.230000000000,104224880.57000000000000000000
2025-06-01,73,73,3,23080811940000,23080811.940000000000,136,136,2,34902431530000,34902431.530000000000,-11821619.590000000000,92403260.98000000000000000000
2025-07-01,97,97,3,43604972020000,43604972.020000000000,81,81,2,37769700690000,37769700.690000000000,5835271.330000000000,98238532.31000000000000000000
2025-08-01,65,65,3,45734005920000,45734005.920000000000,94,94,2,25865819420000,25865819.420000000000,19868186.500000000000,118106718.81000000000000000000
2025-09-01,133,133,3,53326270490000,53326270.490000000000,127,127,1,44562101300000,44562101.300000000000,8764169.190000000000,126870888.00000000000000000000
2025-10-01,163,163,2,52468327120000,52468327.120000000000,176,176,2,37277324840000,37277324.840000000000,15191002.280000000000,142061890.28000000000000000000
2025-11-01,312,312,3,67115451490000,67115451.490000000000,234,234,3,35855132490000,35855132.490000000000,31260319.000000000000,173322209.28000000000000000000
2025-12-01,375,375,2,48753917410000,48753917.410000000000,192,192,3,31598791040000,31598791.040000000000,17155126.370000000000,190477335.65000000000000000000
2026-01-01,389,389,3,76018538730000,76018538.730000000000,210,210,3,44223971410000,44223971.410000000000,31794567.320000000000,222271902.97000000000000000000
2026-02-01,649,649,2,87003239280000,87003239.280000000000,202,202,2,52485351160000,52485351.160000000000,34517888.120000000000,256789791.09000000000000000000
2026-03-01,690,690,3,84847471760000,84847471.760000000000,304,304,4,96832541510000,96832541.510000000000,-11985069.750000000000,244804721.34000000000000000000
2026-04-01,788,788,3,114195234710000,114195234.7100000000,295,295,3,99419426780000,99419426.780000000000,14775807.930000000000,259580529.27000000000000000000
2026-05-01,584,584,3,106742720270000,106742720.2700000000,352,352,4,101858984630000,101858984.6300000000,4883735.6400000000,264464264.91000000000000000000
2026-06-01,668,668,3,99032027480000,99032027.480000000000,354,354,6,91467548770000,91467548.770000000000,7564478.710000000000,272028743.62000000000000000000
