month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2021-08-01,2138,2138,1,5700818025170000,5700818025.1700000000,3509,3509,2,6096473711760000,6096473711.7600000000,-395655686.5900000000,26127432220.1695500000000000
2021-09-01,2392,2392,2,8229605955940000,8229605955.9400000000,2433,2433,2,5649633560590000,5649633560.5900000000,2579972395.3500000000,28707404615.5195500000000000
2021-10-01,2076,2076,2,7331531264570000,7331531264.5700000000,4177,4177,2,5801833364040000,5801833364.0400000000,1529697900.5300000000,30237102516.0495500000000000
2021-11-01,2731,2731,2,10596912369710000,10596912369.7100000000,3488,3488,2,6273695870300000,6273695870.3000000000,4323216499.4100000000,34560319015.4595500000000000
2021-12-01,2642,2642,2,9386542075730000,9386542075.7300000000,3722,3722,2,6207322566960000,6207322566.9600000000,3179219508.7700000000,37739538524.2295500000000000
2022-01-01,2751,2751,2,11067331534120000,11067331534.1200000000,3529,3529,1,4000986396970000,4000986396.9700000000,7066345137.1500000000,44805883661.3795500000000000
2022-02-01,2228,2228,2,6539297130590000,6539297130.5900000000,4581,4581,2,3365062337240000,3365062337.2400000000,3174234793.3500000000,47980118454.7295500000000000
2022-03-01,1953,1953,3,10323097404050000,10323097404.0500000000,9421,9421,3,12413224889300000,12413224889.3000000000,-2090127485.2500000000,45889990969.4795500000000000
2022-04-01,1431,1431,3,9032976106000000,9032976106.0000000000,10568,10568,3,11572840036970000,11572840036.9700000000,-2539863930.9700000000,43350127038.5095500000000000
2022-05-01,2070,2070,4,20901399409580000,20901399409.5800000000,8546,8546,4,18436423778290000,18436423778.2900000000,2464975631.2900000000,45815102669.7995500000000000
2022-06-01,1650,1650,5,12349777073210000,12349777073.2100000000,5457,5457,4,11299348283970000,11299348283.9700000000,1050428789.2400000000,46865531459.0395500000000000
2022-07-01,1446,1446,4,7578006084650000,7578006084.6500000000,6820,6820,4,8878196508430000,8878196508.4300000000,-1300190423.7800000000,45565341035.2595500000000000
2022-08-01,1900,1900,4,5880018732330000,5880018732.3300000000,7265,7265,2,7986499760380000,7986499760.3800000000,-2106481028.0500000000,43458860007.2095500000000000
2022-09-01,1440,1440,2,7766292031350000,7766292031.3500000000,7885,7885,2,10625779371780000,10625779371.7800000000,-2859487340.4300000000,40599372666.7795500000000000
2022-10-01,1870,1870,2,10297392543880000,10297392543.8800000000,7258,7258,3,11873042590200000,11873042590.2000000000,-1575650046.3200000000,39023722620.4595500000000000
2022-11-01,3233,3233,4,19236488743890000,19236488743.8900000000,5672,5672,4,18366487664060000,18366487664.0600000000,870001079.8300000000,39893723700.2895500000000000
2022-12-01,3181,3181,3,15782519726300000,15782519726.3000000000,4592,4592,2,14181958989660000,14181958989.6600000000,1600560736.6400000000,41494284436.9295500000000000
2023-01-01,3908,3908,3,21887783795740000,21887783795.7400000000,5118,5118,2,24214527628330000,24214527628.3300000000,-2326743832.5900000000,39167540604.3395500000000000
2023-02-01,2270,2270,4,15401157978030000,15401157978.0300000000,4516,4516,3,14820127463700000,14820127463.7000000000,581030514.3300000000,39748571118.6695500000000000
2023-03-01,1085,1085,4,7037817197440000,7037817197.4400000000,4349,4349,4,15957406779140000,15957406779.1400000000,-8919589581.7000000000,30828981536.9695500000000000
2023-04-01,742,742,53,2085312133398288,2085312133.3982880000,1415,1415,4,4001587289225118,4001587289.2251180000,-1916275155.8268300000,28912706381.1427200000000000
2023-05-01,1413,1413,224,3207347720021498,3207347720.0214980000,2025,2025,5,4889449314477944,4889449314.4779440000,-1682101594.4564460000,27230604786.6862740000000000
2023-06-01,1805,1805,259,2611152571340535,2611152571.3405350000,2639,2639,5,4347584985919577,4347584985.9195770000,-1736432414.5790420000,25494172372.1072320000000000
2023-07-01,2495,2495,482,4018526854316043,4018526854.3160430000,3090,3090,5,4873667435917507,4873667435.9175070000,-855140581.6014640000,24639031790.5057680000000000
2023-08-01,2905,2905,701,4910093665369868,4910093665.3698680000,3383,3383,5,5181002884566312,5181002884.5663120000,-270909219.1964440000,24368122571.3093240000000000
2023-09-01,2839,2839,877,3010110490935487,3010110490.9354870000,3140,3132,5,4063003733434605,4063003733.4346050000,-1052893242.4991180000,23315229328.8102060000000000
2023-10-01,4048,4048,1143,3911448191825525,3911448191.8255250000,3784,3784,5,4435532280719883,4435532280.7198830000,-524084088.8943580000,22791145239.9158480000000000
2023-11-01,4767,4767,1208,4833352742237925,4833352742.2379250000,4557,4554,4,5097198648245973,5097198648.2459730000,-263845906.0080480000,22527299333.9078000000000000
2023-12-01,6197,6197,2144,5434656391965135,5434656391.9651350000,6814,6814,2,5772894482217601,5772894482.2176010000,-338238090.2524660000,22189061243.6553340000000000
2024-01-01,6528,6528,2711,7878887389541682,7878887389.5416820000,8158,8157,3,6644289447006379,6644289447.0063790000,1234597942.5353030000,23423659186.1906370000000000
2024-02-01,6636,6636,2916,5630443584220581,5630443584.2205810000,7577,7576,3,4077862332274575,4077862332.2745750000,1552581251.9460060000,24976240438.1366430000000000
2024-03-01,9492,9491,4355,10023541588871047,10023541588.8710470000,14512,14512,4,7891125559685972,7891125559.6859720000,2132416029.1850750000,27108656467.3217180000000000
2024-04-01,14788,14762,7984,9759566223895369,9759566223.8953690000,17536,17531,3,11167191193958797,11167191193.9587970000,-1407624970.0634280000,25701031497.2582900000000000
2024-05-01,15713,15694,8558,6212024368542544,6212024368.5425440000,16490,16481,5,7614230242657337,7614230242.6573370000,-1402205874.1147930000,24298825623.1434970000000000
2024-06-01,13668,13651,7770,6718673084960016,6718673084.9600160000,13732,13726,5,6837439620679741,6837439620.6797410000,-118766535.7197250000,24180059087.4237720000000000
2024-07-01,15138,15118,6890,8482520119002944,8482520119.0029440000,15185,15174,5,8039924410278793,8039924410.2787930000,442595708.7241510000,24622654796.1479230000000000
2024-08-01,16388,16300,6419,8221921541086529,8221921541.0865290000,14955,14942,4,7318745218349264,7318745218.3492640000,903176322.7372650000,25525831118.8851880000000000
2024-09-01,13121,13113,5642,7190569355775640,7190569355.7756400000,10978,10973,4,6457575995368135,6457575995.3681350000,732993360.4075050000,26258824479.2926930000000000
2024-10-01,14317,14294,6685,6159341946125039,6159341946.1250390000,17042,17020,4,7296638219100698,7296638219.1006980000,-1137296272.9756590000,25121528206.3170340000000000
2024-11-01,18702,18671,9196,11010115117024982,11010115117.0249820000,21010,20995,5,7036328764106712,7036328764.1067120000,3973786352.9182700000,29095314559.2353040000000000
2024-12-01,19805,19770,10300,11548949633266901,11548949633.2669010000,21430,21407,3,9515656526719721,9515656526.7197210000,2033293106.5471800000,31128607665.7824840000000000
2025-01-01,25436,25257,11600,14388539154365244,14388539154.3652440000,27808,27748,6,11222366496078429,11222366496.0784290000,3166172658.2868150000,34294780324.0692990000000000
2025-02-01,26784,26064,8986,10698096357239630,10698096357.2396300000,20262,20054,7,7750582668701968,7750582668.7019680000,2947513688.5376620000,37242294012.6069610000000000
2025-03-01,22446,20329,5987,10947110800835263,10947110800.8352630000,17412,17143,9,8592370489045790,8592370489.0457900000,2354740311.7894730000,39597034324.3964340000000000
2025-04-01,35876,25515,8093,10679163347892051,10679163347.8920510000,20410,20075,7,9993788100765131,9993788100.7651310000,685375247.1269200000,40282409571.5233540000000000
2025-05-01,56923,32371,9546,10204492290148813,10204492290.1488130000,25901,25484,12,10855712506081729,10855712506.0817290000,-651220215.9329160000,39631189355.5904380000000000
2025-06-01,66877,30065,8720,10066134638787921,10066134638.7879210000,25510,24877,10,8503883602518602,8503883602.5186020000,1562251036.2693190000,41193440391.8597570000000000
2025-07-01,82207,31713,10669,15341170115347013,15341170115.3470130000,28923,28046,10,14888265822963557,14888265822.9635570000,452904292.3834560000,41646344684.2432130000000000
2025-08-01,85398,30549,9839,19933360870019600,19933360870.0196000000,31958,30847,8,14433265659743135,14433265659.7431350000,5500095210.2764650000,47146439894.5196780000000000
2025-09-01,140245,53120,11952,18017968237064220,18017968237.0642200000,40229,38277,9,16792991447383738,16792991447.3837380000,1224976789.6804820000,48371416684.2001600000000000
2025-10-01,104518,53938,11415,21254302563313549,21254302563.3135490000,43683,40746,11,18146240944348997,18146240944.3489970000,3108061618.9645520000,51479478303.1647120000000000
2025-11-01,170497,64574,11436,18638219409277660,18638219409.2776600000,45097,41114,9,17697097750332091,17697097750.3320910000,941121658.9455690000,52420599962.1102810000000000
2025-12-01,144233,61014,9252,16123771380562308,16123771380.5623080000,41898,37741,10,16792390759838531,16792390759.8385310000,-668619379.2762230000,51751980582.8340580000000000
2026-01-01,94583,58207,11367,17480581072461074,17480581072.4610740000,48494,44818,11,20912071120064442,20912071120.0644420000,-3431490047.6033680000,48320490535.2306900000000000
2026-02-01,72469,50244,12684,18140409533142601,18140409533.1426010000,44918,41695,8,13502075060647757,13502075060.6477570000,4638334472.4948440000,52958825007.7255340000000000
2026-03-01,73833,52948,14751,17468109192363243,17468109192.3632430000,49323,46139,10,15873827250160260,15873827250.1602600000,1594281942.2029830000,54553106949.9285170000000000
2026-04-01,84172,61797,18785,15853772248890916,15853772248.8909160000,57032,53576,9,16219829045279932,16219829045.2799320000,-366056796.3890160000,54187050153.5395010000000000
2026-05-01,65163,50045,14137,17971605687978719,17971605687.9787190000,53916,50665,9,19640171540947311,19640171540.9473110000,-1668565852.9685920000,52518484300.5709090000000000
2026-06-01,66996,49383,14621,17192416957376631,17192416957.3766310000,49421,45414,10,18252304801122743,18252304801.1227430000,-1059887843.7461120000,51458596456.8247970000000000
