month,symbol,token_volume,transfer_count,active_addresses,newly_adopted_addresses,genius_qualifying_transfer_volume,average_transfer_size,volume_per_active_address,transfers_per_active_address
2020-08-01,ETH,90847007.70786767,14170273,5296255,3149425,90847007.70786767,6.411097916593961,17.15306527119024,2.6755269525353294
2020-09-01,ETH,138561541.25205553,11953640,4372313,2315944,138561541.25205553,11.591577231040548,31.690672934910086,2.733939679066892
2020-10-01,ETH,81524401.42373279,12100081,5277531,2826600,81524401.42373279,6.737508734340935,15.447450981099454,2.292754130672089
2020-11-01,ETH,95477456.74300508,12610363,5790439,3243539,95477456.74300508,7.571348798048485,16.488811425697616,2.177790492223474
2020-12-01,ETH,86432129.86924073,13740950,5917382,3396281,86432129.86924073,6.29011311948888,14.606481357674852,2.322133335316192
2021-01-01,ETH,139285640.58877766,15742468,6903716,4131602,139285640.58877766,8.847763933125204,20.17545921483121,2.2802890501289452
2021-02-01,ETH,178688017.88522843,16632251,6690934,4271576,178688017.88522843,10.74346568514559,26.705990207828748,2.485789128991558
2021-03-01,ETH,174115100.30739516,18842551,7173435,4466780,174115100.30739516,9.240526949211663,24.27220715144072,2.6267124466869776
2021-04-01,ETH,193119227.63827282,21968559,8769414,5471104,193119227.63827282,8.79070983391641,22.021907922042775,2.505134208511538
2021-05-01,ETH,151644622.26598555,25223653,9566013,5127011,151644622.26598555,6.012000809953481,15.852437401662065,2.6367989464367234
2021-06-01,ETH,80332358.68526322,17938345,7625740,3141588,80332358.68526322,4.4782480594092275,10.534368951113363,2.3523415432469506
2021-07-01,ETH,68532147.20511311,18580456,6958468,2686840,68532147.20511311,3.688399639121511,9.848740729297472,2.6701934966144845
2021-08-01,ETH,69535465.57143344,19869236,6267106,2918202,69535465.57143344,3.499654721068965,11.095307079764318,3.1704005006457527
2021-09-01,ETH,72602616.48941173,19277060,6084537,2858940,72602616.48941173,3.7662701931420934,11.932315719242355,3.1682049102503607
2021-10-01,ETH,65020974.68024543,23166395,7325297,3833062,65020974.68024543,2.8066936905912825,8.876223678063214,3.162519553814678
2021-11-01,ETH,62557670.69322611,23356451,7954778,4055789,62557670.69322611,2.6783893962839693,7.864162983960848,2.9361537179290234
2021-12-01,ETH,63522002.5141238,21598038,7696209,3662155,63522002.5141238,2.941100599699093,8.253674310835867,2.8063216578447907
2022-01-01,ETH,65676267.546498686,21452547,6504293,3114916,65676267.546498686,3.061467132387529,10.097372234999051,3.298213502989487
2022-02-01,ETH,51478260.03593681,18596111,6155440,2507878,51478260.03593681,2.768227186637938,8.363051225572308,3.021085576335729
2022-03-01,ETH,50805889.06538753,20268942,7584372,2789244,50805889.06538753,2.506588112264939,6.698760169647207,2.672461477364243
2022-04-01,ETH,47823158.7591595,18693147,6160078,2490456,47823158.7591595,2.5583257200705423,7.763401495753706,3.0345633610483502
2022-05-01,ETH,78738920.37358308,19077262,6640040,2558965,78738920.37358308,4.127370079290365,11.858199705661875,2.873064318889645
2022-06-01,ETH,83193885.4552053,16026949,5030215,2047893,83193885.4552053,5.1908747856629045,16.538832923683245,3.186135980271221
2022-07-01,ETH,65620357.20740242,19281472,7449199,2298354,65620357.20740242,3.4032856623914616,8.809048759121943,2.5883953429086803
2022-08-01,ETH,49856332.87620593,17907204,7159650,2347236,49856332.87620593,2.784149489568887,6.963515378015116,2.501128407114873
2022-09-01,ETH,78260830.71447052,16829011,6974448,2125007,78260830.71447052,4.650352341826298,11.221078817201091,2.4129523942253206
2022-10-01,ETH,43220073.3921941,15046702,5821169,2736909,43220073.3921941,2.87239511968763,7.424638142646967,2.5848248006543018
